Location,Population,HighestInfectionCount,PercentPopulationInfected
Guernsey,63329,0,0
Scotland,5466000,0,0
Sint Maarten (Dutch part),44192,0,0
Guam,171783,0,0
Puerto Rico,3252412,0,0
Northern Mariana Islands,49574,0,0
United States Virgin Islands,99479,0,0
Niue,1952,0,0
Jersey,110796,0,0
Wales,3170000,0,0
Northern Cyprus,382836,0,0
England,56550000,0,0
Tokelau,1893,0,0
Turkmenistan,6430777,0,0
Northern Ireland,1896000,0,0
